tract_id,precount_positive,all_positive,median_hhold_inc,median_age,week_19,count_19,week_20,count_20
53033032010,9,149,119881.0,36.6,2019/4/29,119,2020/4/27,42
53033032011,12,105,112267.0,36.2,2019/4/29,104,2020/4/27,51
53033032102,3,59,125095.0,44.5,2019/4/29,84,2020/4/27,20
53033032103,12,86,86574.0,36.2,2019/4/29,80,2020/4/27,40
53033032104,94,217,103110.0,44.4,2019/4/29,84,2020/4/27,75
53033032203,11,94,178516.0,38.8,2019/4/29,225,2020/4/27,22
53033032207,10,61,165341.0,42.1,2019/4/29,94,2020/4/27,16
53033032208,18,225,122330.0,43.3,2019/4/29,153,2020/4/27,29
53033032210,27,158,133169.0,35.0,2019/4/29,446,2020/4/27,146
53033032211,3,69,154741.0,39.1,2019/4/29,843,2020/4/27,34
53033032212,5,94,145457.0,36.5,2019/4/29,159,2020/4/27,50
53033032213,8,70,179250.0,43.6,2019/4/29,108,2020/4/27,26
53033032214,5,67,182120.0,38.3,2019/4/29,179,2020/4/27,66
53033032215,4,74,230043.0,39.6,2019/4/29,120,2020/4/27,72
53033032307,9,87,151134.0,42.0,2019/4/29,97,2020/4/27,58
53033032309,51,158,124351.0,30.9,2019/4/29,173,2020/4/27,66
53033032311,6,61,141375.0,45.6,2019/4/29,107,2020/4/27,36
53033032313,7,66,123179.0,34.1,2019/4/29,119,2020/4/27,42
53033032315,12,63,165075.0,47.0,2019/4/29,136,2020/4/27,16
53033032316,4,72,174861.0,41.7,2019/4/29,169,2020/4/27,24
53033032317,2,70,186250.0,39.1,2019/4/29,814,2020/4/27,37
53033032318,2,57,199896.0,37.0,2019/4/29,156,2020/4/27,34
53033032319,16,109,78119.0,35.7,2019/4/29,90,2020/4/27,25
53033032320,7,72,171033.0,45.8,2019/4/29,87,2020/4/27,20
53033032321,7,54,211563.0,40.9,2019/4/29,148,2020/4/27,32
53033032322,4,22,190625.0,44.1,2019/4/29,42,2020/4/27,4
53033032323,20,111,159290.0,39.4,2019/4/29,158,2020/4/27,39
53033032324,15,85,127083.0,34.8,2019/4/29,139,2020/4/27,28
53033032325,14,100,113836.0,34.1,2019/4/29,89,2020/4/27,33
53033032326,7,94,206250.0,47.1,2019/4/29,38,2020/4/27,8
53033032327,9,64,109500.0,65.7,2019/4/29,49,2020/4/27,15
